ConfigID	k_StrategiesPerAgent	K_StrategySpace	l_Lambda	m_Memory	n_Agents	p_Crowded	s_Seed	ABMAT_Max_t	ABMAT_SeqMC_BCc	ABMAT_SeqMC_Pv	ABMAT_SeqMC_seed	ABMAT_Window
28.0	0.0	0.4	0.5	12.0	10.0	0.4	1282934868.0	1000.0	20.0	0.05	1289600138.0	300.0
29.0	0.0	0.6	0.5	12.0	10.0	0.4	1428155384.0	1000.0	20.0	0.05	376606954.0	300.0
30.0	0.0	0.8	0.5	12.0	10.0	0.4	1963684701.0	1000.0	20.0	0.05	899302855.0	300.0
31.0	0.0	0.0	0.5	12.0	2010.0	0.4	822783725.0	1000.0	20.0	0.05	1114367287.0	300.0
32.0	0.0	0.2	0.5	12.0	2010.0	0.4	100858647.0	1000.0	20.0	0.05	357090816.0	300.0
33.0	0.0	0.4	0.5	12.0	2010.0	0.4	1584915122.0	1000.0	20.0	0.05	177808786.0	300.0
34.0	0.0	0.6	0.5	12.0	2010.0	0.4	1295259292.0	1000.0	20.0	0.05	526883202.0	300.0
35.0	0.0	0.8	0.5	12.0	2010.0	0.4	836005966.0	1000.0	20.0	0.05	619965079.0	300.0
36.0	0.0	0.0	0.5	12.0	4010.0	0.4	763801343.0	1000.0	20.0	0.05	1544139323.0	300.0
37.0	0.0	0.2	0.5	12.0	4010.0	0.4	638064026.0	1000.0	20.0	0.05	1216344703.0	300.0
38.0	0.0	0.4	0.5	12.0	4010.0	0.4	1022310454.0	1000.0	20.0	0.05	1425222975.0	300.0
39.0	0.0	0.6	0.5	12.0	4010.0	0.4	2011826545.0	1000.0	20.0	0.05	1573186599.0	300.0
40.0	0.0	0.8	0.5	12.0	4010.0	0.4	461580949.0	1000.0	20.0	0.05	66965274.0	300.0
41.0	0.0	0.0	0.5	12.0	6010.0	0.4	563207747.0	1000.0	20.0	0.05	1277920125.0	300.0
42.0	0.0	0.2	0.5	12.0	6010.0	0.4	110436094.0	1000.0	20.0	0.05	1065938399.0	300.0
43.0	0.0	0.4	0.5	12.0	6010.0	0.4	1281710258.0	1000.0	20.0	0.05	717783290.0	300.0
44.0	0.0	0.6	0.5	12.0	6010.0	0.4	1655521351.0	1000.0	20.0	0.05	228918006.0	300.0
